Order,Name,Level,Category 1,Category 2,Category 3,Category 4,Quality,F,W,A,E,Score,Value,Trait 1,Trait 2,Property 1,Property 2,Property 3,Property 4,Property 5,Description,Location 1,Location 2,Location 3,Location 4,Location 5,Monster 1,Monster 2,Monster 3,Monster 4,Notes
95,Natural Syrup,13,(Liquid),(Seasoning),(Sweetener),(Fermented),65,10,25,10,0,52,13,Good w/ Plants,Good w/ Liquid,Super Sweet,Skill Usage -15%,,,,A very thick sap from a sugar tree. It's much sweeter than the regular one and tastes very...clean.,Spring Water Forest,,,,,Mirage Element,,,,
96,Milch Bean,11,(Food Ingredient),(Grain),(Bean),,50,0,5,0,25,37,9,Rock Power,,Tiny,,,,,"Oily beans! These can be eaten as is, but they can be squeezed to yield a milky substance. Or dry them to use as a spice!",Hallos-Residences,Deserted House,,,,,,,,
97,Jewel Beans,21,(Gemstone),(Precious Ore),(Access. Ing.),,80,15,25,0,45,50,22,Black Soil Power,,Bean Brightness,,,,,A rare jewel in the shape of a bean. Process it to turn into an accessory. There are some precious minerals in it.,Beginning Island,Hidden Paradise-Fire,,,,,,,,
98,Big Milch Bean,15,(Food Ingredient),(Grain),(Bean),,60,0,10,0,30,42,12,Well-Made,Dirt Power,Small,,,,,"A milch bean that's bigger than normal. Bigger bean, bigger taste? I guess they get like this when well-nourished.",Hallos-Residences,Hidden Paradise-Earth,,,,,,,,
99,Small Milch Bean,10,(Food Ingredient),(Grain),(Bean),,40,0,15,15,10,32,8,Nice w/ Liquid,Usage Control,Flea Size,,,,,"A milch bean smaller than normal, probably because it wasn't nourished. Not much juice can be extracted from it.",Hallos-Residences,,,,,,,,,
100,Red Devil,13,(Plant),(Vegetable),(Spice),,75,55,0,0,0,54,15,Hellfire Power,,Really Spicy,Stinky,,,,"An extremely spicy vegetable. Depending on the person, they can get addicted. It can also be a medicine, but...let's not.",Hallos Village,,,,,,,,,
101,Blue Devil,9,(Plant),(Vegetable),(Spice),,65,25,25,0,0,46,13,Fire Spirit,,Very Bitter-Spicy,,,,,"An extremely spicy vegetable. It has a creepy blue color, but it's been used as medicine for ages. Some swear by it!",Along Cliff Way,,,,,,,,,
102,Sharp Pepper,16,(Plant),(Vegetable),(Spice),,25,40,0,20,20,21,10,Well-Made,Hellfire Power,Hellish Spicy,,,,,So spicy that some will faint from eating it. Tears well up in your eyes just by putting it close to your lips... Eek!,Hallos Village,Hidden Paradise-Earth,,,,,,,,
103,Bitter Tree Seed,7,(Plant),(Spice),,,45,15,0,0,10,31,7,Fire Power,,Very Bitter,,,,,A type of plant that tastes like a spice. It can be chopped up and used as seasoning. It tastes grown up.,Riverside Way,,,,,,,,,Listed Location is incorrect.
104,Spice Fruit,11,(Plant),(Spice),,,60,15,0,0,10,49,11,Heighten Power,,Superior Smell,Tiny,,,,A spicy seed from a certain plant. Pulverizing it and mixing it in a recipe gives it a good accent. So adult!,Salt Desert-Mountain,,,,,,,,,
105,Epicure Nut,16,(Food Ingredient),(Fruit),,,80,25,25,25,25,58,21,Expand Power,Nice w/ Liquid,Exquisite Taste,Good Quality,,,,"It looks normal, but it can taste like fruit based on how it's prepared. Most think it's fruit, but it's a nut.",Salt Desert-Hill,Hidden Paradise-Earth,,,,Cobalt Gale,,,,
106,Anti-Bug Grass,2,(Plant),(Poison),(Incense),,35,0,10,10,0,26,5,Water Spirit,,Stinky,Spicy,,,,"A plant with a grassy smell that repels bugs. It can ward off bugs from food, so it's been used for ages that way.",Dry Valley-Ravine Way,Pasture Way,Hidden Paradise,,,Grass Element,,,,
107,Medicinal Leaf,12,(Plant),(Elixir),,,60,0,20,10,15,37,12,Nicely Made,Storm Power,Prevent Ailment,,,,,"A plant with a pungent smell, famous among apothecaries. It can be a potent medicine depending on how you mix it.",Serenity Island,Beginning Island,Decayed Ruin Island,,,,,,,
108,Reaper Herb,23,(Plant),(Poison),(Herb),,20,10,10,35,10,6,10,Stagnation,Expand Power,Death Odor,Harmful Poison,,,,A plant with a bad smell. Smell it too long and you'll get sick. Crushing it will only make the smell worse.,Salt Desert-Lighthouse,Hidden Paradise-Wind,,,,Amethyst Drake,,,,
109,Wood Fragments,9,(Plant),(Incense),(Lumber),(Dried Plant),40,10,0,0,15,27,7,Usage Control,,Nice Smell,,,,,Burning this will give off a smell that wakes you up. Forest-dwellers wake up to this smell every day.,Dry Valley,,,,,Fake Ruin,,,,
110,Charcoal Pieces,7,(Plant),(Charcoal),(Fuel),(Lumber),50,25,0,5,5,31,9,Fire Power,Dirt Power,Burn Easily,,,,,"A burned piece of an incense tree. It doesn't give off a smell, but it can be used as charcoal.",Hallos Village,Hallos-Residences,Along Cliff Way,,,Tree Element,,,,
111,Purification Block,16,(Plant),(Elixir),(Lumber),,75,15,0,15,10,48,15,Usage Ease,Stable Matter,Stimulant,,,,,"A piece of wood used to quell evil spirits. It used to be part of a big tree. It's very sturdy, even in fragments.",Glass Factory-3F,Hidden Paradise-Earth,,,,Yellow Element,,,,
112,Mud Ball,6,(Strange),(Clay),,,20,0,0,0,25,17,4,Earth Spirit,,Weird Shape,,,,,"No one knows who made it, but it's very round. It's not edible, but it feels mystical.",Tunnel-Old Dam,Tunnel-Dried Waterway,,,,,,,,
113,Ash Ball,12,(Strange),(Clay),,,35,20,0,0,30,29,10,Rock Power,Good w/ Ore,Strange Shape,,,,,"No one knows who made it, but it's a round ball of ash. Who made it like this? A mystery for the ages...",Hallos-Plaza,,,,,,,,,
114,Gold Ball,24,(Strange),(Clay),,,95,15,15,15,45,77,37,Black Soil Power,Stable Matter,Avant-Garde Form,Price +15%,,,,"It's a mystery who made it, but this ball of gold is round and pretty. It doesn't have any gold inside. Too bad.",Riesengang-Upper,Hidden Paradise-Wind,,,,Drunk Slag,,,,
115,Lady's Beard,11,(Strange),(String),(Filter),,60,10,10,15,10,41,12,Wind Power,Usage Control,Soft,,,,,A wad of hair that's thin and strong. No one knows if it's from an animal or plant. Can be used as fuel or medicine.,Spring Water Forest,,,,,,,,,
116,Golden Yarn,22,(Strange),(String),(Filter),,80,20,20,20,20,49,21,Nicely Made,Heighten Power,Gold Power,,,,,A wad of golden yarn that's thin and strong. It glitters and is very pretty. Knitting with this would be awesome.,Yggdrasil-Flower Alley,Hidden Paradise-Wind,,,,Packer,,,,
117,Mysterious Silk,30,(Strange),(String),(Filter),,100,30,30,30,30,61,33,Amazingly Made,,Mystic Power,,,,,A wad of hair that's thin and strong. It's very soft and gives off a mystical light. How did it get so pretty?,Yggdrasil,Hidden Paradise-Sky,,,,Assassin,,,,
118,Round Moss,8,(Strange),(Mystery),(Filter),(Lucky Charm),45,0,20,0,10,31,8,Water Power,,Soft,,,,,Round moss that lives on land. It rolls around the forest on its own. Creepy.,Hallos-Plaza,Fragrant Wind Meadow,,,,,,,,
119,Antique Moss,13,(Strange),(Mystery),(Filter),(Lucky Charm),55,0,30,0,15,41,11,Rain Power,Good w/ Plants,Super Elastic,,,,,Very old moss that migrates without anyone knowing. I wonder if that's true...,Oesten Marsh-Swamp,,,,,,,,,
120,Fresh Water Moss,18,(Strange),(Mystery),(Filter),(Lucky Charm),70,0,45,0,0,43,16,Water Soul,Great w/ Plants,Green Power,,,,,Round moss that lives in freshwater. It gets really big and gives off a mystical aura. How long has it been around?,Dry Valley-Ravine Way,Hidden Paradise-Water,,,,,,,,
121,Mtn. Bird Feather,6,(Animal),(Feather),,,60,0,0,25,10,40,10,Wind Power,,,,,,,An ordinary bird feather. Hunters get these from birds they hunt. It can be used as an accessory or for bedding.,Dry Valley-Lake Bed,,,,,,,,,
122,Eagle Feather,13,(Animal),(Feather),(Legendary),,70,0,0,40,20,44,15,Storm Power,Usage Control,Wind Words,,,,,"An eagle's feather harder than normal feathers, but more sturdy. It looks nice when used as an accessory.",Salt Desert-Mountain,,,,,,,,,
123,Paradise Feather,25,(Animal),(Feather),(Legendary),,90,30,20,50,0,57,26,Tornado Power,,Gale Words,,,,,"A feather from a rare bird. It glitters like a jewel in the sun. As an ingredient, it makes everything mystical.",Yggdrasil-Flower Alley,Hidden Paradise-Wind,,,,White Spirit,,,,
124,Word Stone-Star,4,(Mystery),(Ancient Word),(Antique),,40,15,0,0,20,24,7,Well-Made,,Power Words,,,,,"A rock with ancient writing on it. No one knows what exactly it's used for, but it feels mystical holding onto it.",Tunnel-Broken Bridge,Zweiteturm-Archive 5,Zweiteturm-Archive 6,,,,,,,
125,Word Stone-Moon,8,(Mystery),(Ancient Word),(Antique),,50,25,0,30,0,31,11,Good w/ Ore,Good w/ Plants,Protection Words,,,,,A rock with ancient writing. It has three rings drawn on it. No one knows what it means.,Zweiteturm-Archive 5,Zweiteturm-Archive 6,,,,,,,,
126,Word Stone-Sun,16,(Mystery),(Ancient Word),(Antique),,60,0,30,0,15,42,13,Heighten Power,,Speed Words,Tiny,,,,A rock with ancient writing on it. A jagged pattern is drawn around a circle. Maybe it's trying to tell me something?,Glass Factory-2F,Zweiteturm-Archive 5,Zweiteturm-Archive 6,Hidden Paradise-Earth,,,,,,
127,Word Stone-Sea,24,(Mystery),(Ancient Word),(Antique),,80,0,40,30,15,49,23,Permanent Trait,Usage Null,Life Words,Mind Words,,,,A rock with ancient writing on it. Something like a fish is drawn on it. Maybe it's about water. Why is there a town?,Zweiteturm-Archive 8,Zweiteturm-Archive 9,Hidden Paradise-Wind,,,,,,,
128,Word Stone-Man,36,(Mystery),(Ancient Word),(Antique),,90,50,0,30,30,52,31,Release Power,Nicely Made,Soul Words,All Soul Pour,,,,A rock with ancient writing on it. Many people with weapons are fighting. I don't get it.,Yggdrasil-Flower Gate,Hidden Paradise-Sky,,,,Battle Lord,,,,
129,Verdure Grass,15,(Plant),(Flower),(Lucky Charm),,60,0,0,20,20,45,13,Heighten Power,,Cute,,,,,A somewhat rare plant that gives good fortune to the finder. It has a pretty blue flower and rare leaf shapes.,Waterfall Island,Serenity Island,Cloud Sea Island,Hidden Paradise-Earth,,Grass Element,,,,
130,Lucky Clover,20,(Plant),(Flower),(Lucky Charm),,70,0,30,30,0,49,19,Expand Power,Addition,Loveable,Fairy Power,,,,A very rare plant that gives good fortune to the finder. Giving it to travelers will help them have a safe journey.,Zweiteturm-Archive 8,Zweiteturm-Archive 9,Salt Desert-Hill,Hidden Paradise-Fire,,Deep Woods Spirit,,,,
131,Oblivion Clover,25,(Plant),(Flower),(Lucky Charm),,80,50,0,0,50,48,24,Stagnation,,Oblivion Power,,,,,"It's so rare that everyone has forgotten its existence. But if I found it, I'm just that much luckier!",Salt Desert-Lighthouse,Hidden Paradise-Wind,,,,,,,,
132,Honey Poppy,9,(Plant),(Sweetener),,,55,0,5,0,15,39,9,Dirt Power,Good w/ Plants,Very Nice Smell,,,,,A wild flower full of sweet nectar. It's used both as a fragrance and a medicine to relieve pain.,Altugle Herb Garden,Riverside Way,,,,,,,,
133,Moonlight Grass,15,(Plant),(Medic. Herb),(Elixir),,65,0,15,0,35,41,14,Black Soil Power,Nice w/ Liquid,Normalize Body,,,,,"A rare flower that only blooms during a full moon. Look at it closely and you'll see a small bud, but it's not a flower.",The Farthest Forest,Hidden Paradise-Earth,,,,Flower Element,,,,
134,Dunkelheit,24,(Plant),(Flower),(Medic. Herb),,90,0,20,20,40,51,24,Great w/ Plants,Dirt Soul,Recovery,Save Predicament,,,,"A rare flower that blooms only once a year during a full moon. It withers the next day. It's romantic, but super useful!",Yggdrasil,Hidden Paradise-Wind,,,,Deep Woods Spirit,Sham Linca,Winged Master,,
135,White Flower,2,(Plant),(Flower),(Medic. Herb),,40,0,0,5,10,24,5,Good w/ Liquid,,Unparalyze,,,,,"A regular white flower that grows anywhere. It doesn't have any unique properties, so it's used as synthesis filler.",Nearby Forest,Hidden Paradise,,,,Flower Element,,,,
136,Red Flower,6,(Plant),(Flower),(Oil),,50,15,0,0,15,31,8,Fire Power,,Stimulant,,,,,I think I see this red flower everywhere. It has that passionate feel to it and can make a nice present.,Harvestful Forest,Fragrant Wind Meadow,,,,Flower Element,,,,
137,Purple Flower,11,(Plant),(Flower),,,65,0,20,0,20,39,13,Rain Power,Well-Made,Fix Wound,Detoxify,,,,"This purple flower is a bit rare. I don't see it often, but there isn't anything special about it. Too bad.",Grassland Hill,,,,,Flower Element,,,,
138,Water,1,(Liquid),(Water),,,40,0,20,0,0,26,0,Water Power,,,,,,,It's water. You can drink it or use it as a medicine ingredient. I wish the water was a little cleaner...,Front of Workshop,Village Plaza,Hidden Paradise,,,,,,,
139,Clean Water,11,(Liquid),(Water),,,60,0,30,0,0,38,0,Rain Power,Nice w/ Liquid,Healing Water,,,,,Very clean water. It tastes good and mixes well in medicine. Synthesizing with it can result in great things.,Hornheim Plaza,Pond Forest,,,,,,,,
140,Muddy Water,6,(Liquid),(Water),(Fermented),,20,0,15,0,25,15,0,Water Power,Dirt Power,Price -10%,,,,,"Dirty water that has mud in it. I don't want to drink it, and I doubt it would make good medicine. I need cleaner water.",Hill Plaza,Dry Valley,Dry Valley-Lake Bed,Dry Valley-Ravine Way,,,,,,
141,Salty Water,16,(Liquid),(Water),(Salt),(Fermented),75,20,10,0,0,52,0,Water Power,Usage Ease,Salty,,,,,This water has salt in it! Distilling it will yield salt crystals. I don't think we should use it for drinking.,Salt Desert,Salt Desert-Hill,Salt Desert-Lighthouse,Salt Desert-Bones,Hidden Paradise-Water,,,,,
142,Spring Water,20,(Liquid),(Water),,,90,0,50,20,0,54,22,Flood Power,Heighten Power,Water Blessing,Good Quality,,,,This is precious water from a spring. It's crystal clear. I think I can use this with just about anything.,Pond Forest,Hidden Paradise-Fire,,,,Green Element,,,,
143,Cow Milk,6,(Liquid),(Milk),(Seasoning),,50,0,15,0,25,33,9,Dirt Power,,,,,,,Milk from a cow. Drink some every day to grow up big and strong. I wish I could get some from Pana...,,,,,,Mad Ox,,,,
144,Rich Cow Milk,12,(Liquid),(Milk),(Seasoning),,60,0,20,0,25,44,12,Well-Made,Usage Control,Full Nutrition,,,,,"The kind of Cow Milk that's rich and creamy. It's good on its own, but aging it makes it even better, I hear.",,,,,,Mad Ox,,,,
145,Aged Cow Milk,18,(Liquid),(Milk),(Seasoning),(Tonic),80,10,25,10,40,55,21,Black Soil Power,Nicely Made,Some Nutrition,,,,,"Rich, aged Cow Milk. The distinct sourness is gone and has been replaced by a sweet flavor. I want more!",Cow's Paradise-Lake,Hidden Paradise-Water,,,,Mad Ox,,,,
146,Crowned Cow Milk,25,(Liquid),(Milk),(Seasoning),(Tonic),90,25,30,20,15,76,25,Usage Ease,Addition,Perfect Nutrition,Skill Usage -25%,,,,Only the chosen cows can get the crown brand. This precious milk can only be extracted from such cows. It's glowing!,Cow's Paradise-Lake,Hidden Paradise-Wind,,,,Mad Ox,,,,
147,Liquid Crystal,9,(Natural),(Medic. Ing.),(Salt),(Solution),40,0,15,0,10,23,7,Good w/ Liquid,,Ice Power,,,,,A natural liquid with a nice color. There are nutrients mixed in it. I'd rather use it for medicine than drink it.,Hallos-Plaza,,,,,,,,,
148,Element Core,18,(Natural),(Fuel),(Mystery),,65,35,35,35,25,37,22,Fire Soul,Water Soul,Spirit's Anger,Fire Power,,,,A natural liquid that looks creepy. It has a distinct smell and the crystal inside crackles when you put it close to fire.,Glass Factory-Core,Steinfeder,Hidden Paradise-Water,,,,,,,
149,Crystalline Ether,27,(Natural),(Precious Ore),,,80,0,45,45,0,50,24,Great w/ Liquid,,Hide,,,,,A liquid with metallic crystals inside. Processing it isolates the metal. I wonder if this really occurs naturally.,Salt Desert-Mountain,Hidden Paradise-Sky,,,,Pico-Slag,Tank,Dragoon,,
150,Water Crystal,12,(Natural),(Water),(Ore),(Solution),50,0,15,0,10,30,9,Water Power,Good w/ Plants,Ice Guard,,,,,A crystal with water inside. The water is from the distant past and it'll be difficult to extract.,Dry Valley,Spring Water Forest,,,,,,,,
151,Fossil Oil,18,(Natural),(Fuel),(Oil),(Solution),60,50,0,15,30,36,18,Black Soil Power,Hellfire Power,Scorching Flame,,,,,A crystal with slime inside. It smells like oil and it makes me nauseous. It's supposed to be eroded fossils.,Tunnel-Old Dam,Hidden Paradise-Water,,,,,,,,
152,Genesis Capsule,36,(Natural),(Elixir),(Mystery),,90,0,10,10,50,52,27,Usage Ease,Great w/ Ore,Light of Life,Ability Decline,,,,A crystal with extremely old liquid inside. It shines and has a mystical feel. The crystal is really hard.,Yggdrasil-Flower Gate,Hidden Paradise-Sky,,,,Dragoon,,,,
153,Eiche,6,(Natural),(Lumber),,,30,0,0,0,15,20,5,Dirt Power,,,,,,,"Wood that can be used as lumber. You can find these dried pieces in most forests. They may be dried out, but they're still useful.",Half-Florescent Field,Harvestful Forest,,,,Tree Element,,,,
154,Rock Tree,13,(Natural),(Lumber),,,60,0,0,0,35,42,12,Rock Power,Good w/ Plants,Big,,,,,Wood that's as hard as a rock. Houses made from this are said to be very sturdy. It's almost too heavy to carry back...,Dry Valley-Lake Bed,Grand Rocky Mountain,,,,,,,,
155,Piece of Wood,19,(Natural),(Lumber),(Mystery),,75,30,0,0,35,54,18,Black Soil Power,Heighten Power,Huge,,,,,A very big piece of lumber. It's supposed to be a twig that fell off a very big tree. I wonder how big the tree is.,Yggdrasil,Yggdrasil-Flower Alley,Yggdrasil-Flower Gate,The Farthest Forest,Hidden Paradise-Water,,,,,
156,River Wood,15,(Natural),(Lumber),,,40,0,25,0,15,29,9,Good w/ Plants,Good w/ Liquid,Really Hard,,,,,Sturdy wood found near the water or marshlands. It can be used as lumber. I think it broke off and drifted away...,Dry Valley-Ravine Way,Hidden Paradise-Earth,,,,,,,,
157,Mossy Driftwood,18,(Natural),(Lumber),,,50,0,30,0,20,31,12,Nicely Made,,Burn Easily,,,,,"It must've drifted for a long time because it's covered in moss. But it still has its shape, so I bet it's sturdy.",Oesten Marshland,Oesten Marsh-Swamp,Hidden Paradise-Water,,,,,,,
158,Ancient Root,26,(Natural),(Lumber),(Mystery),,90,0,20,30,60,63,28,Earth Power,Permanent Trait,Monster Size,Good Quality,,,,"It must be really old, but it still retains its shape. It feels like spirits inhabit it, so it's a precious ingredient.",Decayed Ruin Island,Yggdrasil-Flower Alley,Hidden Paradise-Sky,,,,,,,
159,Thin Fruit,2,(Food Ingredient),(Fruit),,,20,0,5,20,0,15,4,Wind Spirit,,Sour,,,,,"One of the few fruits that exist in this region. It's mildly sweet and very tangy. Well, it's still a fruit...",Dry Valley,Dry Valley-Lake Bed,Pasture Way,Hidden Paradise,,Fruit Hamster,,,,
160,Ripe Fruit,7,(Food Ingredient),(Fruit),,,40,0,10,15,0,28,7,Well-Made,,Sweet,,,,,"A ripe fruit packed with nutrients. It's less sour and more sweet, so it's tasty. Not quite fully ripe, though.",Grassland Hill,,,,,Poison Squirrel,,,,
161,Fully Ripe Fruit,14,(Food Ingredient),(Fruit),(Incense),,60,0,20,20,0,44,12,Great w/ Liquid,Wind Soul,Super Sweet,,,,,"A fully ripened fruit. This has all the sweetness a fruit should have. I want one every day, but it's really rare.",Salt Desert-Mountain,,,,,Bitter Squirrel,,,,
162,Golden Fruit,22,(Food Ingredient),(Fruit),(Incense),(Sweetener),80,0,40,30,0,51,20,Stable Matter,Usage Control,Gold Power,Heavenly Sweet,Good Quality,,,A fruit that shines with a gold color. It's softer than it looks and is crunchy. I wonder why it's gold...,Cloud Sea Island,Hidden Paradise-Wind,,,,Golden Rat,,,,
163,Cow Dropping,1,(Strange),(Fermented),(Incense),(Smelly),10,15,0,0,20,8,3,Addition,,Superior Smell,Monster Calling,,,,"A wonderful dropping by a cow. It can become fertilizer or fuel. Um... Thank you, cows!",Deserted House,Cow's Paradise-Grass,Hidden Paradise,,,Rage Ox,,,,
164,Gold Object,20,(Strange),(Ore),(Antique),(Mystery),80,0,0,20,40,52,20,Usage Ease,,Gold Power,Regular Form,Good Quality,,,Golden cow droppings. The container looks pretty. I wonder how the cows drop something like this...,Zweiteturm-Archive 8,Zweiteturm-Archive 9,Decayed Ruin Island,Cow's Paradise-Grass,Hidden Paradise-Fire,Rage Ox,,,,
165,Fire Stone,3,(Ore),(Gunpowder),(Fuel),(Smelly),30,10,0,0,10,18,4,Good w/ Ore,,Burn Easily,,,,,"This warm stone can be found in caves or marshlands. It gets hot when thrown in a fire, so it's good with firewood.",Riesengang-Upper,Riesengang-Middle,Old Coal Mine,Hidden Paradise,,,,,,
166,Fluorite,6,(Ore),(Mystery),,,40,0,5,15,15,26,7,Water Power,,,,,,,"A stone with a mysterious glow. When you go to a mine with these, you don't even need light to see. Mystical, huh?",Riesengang-Upper,Riesengang-Middle,Tunnel-Old Dam,Tunnel-Dried Waterway,,,,,,
167,Lava Stone,19,(Ore),(Gunpowder),(Fuel),,75,50,0,0,15,47,18,Hellfire Power,Fire Soul,Blow Away,,,,,"A rough stone made from cooled lava. It won't burn unless you throw it in a super-hot fire, and it'll never cool down!",Riesengang-Lower,Glass Factory-Core,Steinfeder,Hidden Paradise-Fire,,,,,,
168,Dried Fat,5,(Natural),(Fuel),(Meat),(Oil),35,15,0,0,10,21,6,Nice w/ Ore,,Burn Easily,,,,,"The remaining fat of animals and plants. It'll burn up easily, but extreme heat will consume it. Best as tinder.",Hallos Village,Hallos-Residences,,,,,,,,
169,Ghost Cloth,11,(Natural),(Fuel),(Poison),(Cloth),50,20,0,0,15,31,10,Usage Control,,Restrain Poison,,,,,"A thin, oily membrane that resembles ghost apparel. It burns instantly. Bad for oil, but other uses may exist.",Hallos-Plaza,Constant Bower Woods,,,,,,,,
170,Fire Spirit Breath,22,(Natural),(Gunpowder),(Fuel),,70,50,0,20,0,43,18,Scorching Hot,Nice w/ Ore,Fire Guard,,,,,"The bottle's empty, but there is fire inside for some reason. It's as if a fire spirit yawned into the bottle.",Salt Desert-Bones,Hidden Paradise-Wind,,,,Fairydrake,Mirage Element,,,
171,Pixie Breath,35,(Natural),(Elixir),,,100,40,40,40,40,59,39,Expand Power,Multiplication,Fix Fatal Wound,Spirit Specific,,,,"A natural substance said to be the breath of a powerful spirit. It has mysterious powers, so be careful with it.",Yggdrasil-Flower Gate,Hidden Paradise-Sky,,,,Deep Woods Spirit,Wind Ruler,,,
172,Night Fog Bottle,16,(Natural),(Poison),(Smelly),,30,0,15,15,0,16,7,Permanent Trait,,Complex Poison,,,,,"A bottle with a fog that smells strange. It's useless as is, but I think I can mix it with something.",Glass Factory-2F,Hidden Paradise-Water,,,,,,,,
173,Black Spring,11,(Liquid),(Fuel),(Poison),(Solution),40,20,5,0,10,29,9,Fire Power,Nice w/ Liquid,Really Stinky,,,,,"Spring water that's smelly and dark. Sniffing it will make you sick, so everyone should stay away. Um, don't drink it.",Tunnel-Old Dam,Oesten Marsh-Swamp,,,,,,,,
174,Silver Liquid,19,(Liquid),(Medic. Ing.),(Poison),(Slime),55,30,0,0,25,34,13,Nicely Made,Nice w/ Plants,Brittle,,,,,"A sticky silver liquid that glows. It doesn't have silver in it, so why does it have that color?",Riesengang-Lower,Oesten Marsh-Swamp,Salt Desert-Hill,Hidden Paradise-Fire,,,,,,
175,Nectar Water,24,(Liquid),(Water),(Sweetener),(Mystery),80,0,45,15,10,50,21,Flood Power,Heighten Power,Revival,,,,,A mysterious liquid with a sweet taste. Apothecaries say it's a famous magical liquid that can heal any sickness.,Waterfall Island,Yggdrasil,Yggdrasil-Flower Alley,Yggdrasil-Flower Gate,Hidden Paradise-Wind,Yellow Element,,,,
176,Junk,1,(Strange),(Junk),(Metal),(Antique),0,5,5,5,15,4,2,Permanent Trait,,Price -10%,Skill Usage -10%,,,,"It's worthless junk that can be found anywhere, but there's a slight chance that something valuable is inside it.",Tunnel,Zweiteturm-Archive 2,Hidden Paradise,,,Gatekeeper,,,,
177,Ancient Trash,6,(Strange),(Junk),(Metal),(Antique),0,10,10,10,25,9,4,Usage Ease,,Price -20%,Skill Usage -15%,,,,"A very old piece of trash. In other words, it's junk. Maybe something valuable is inside it...",Riesengang-Upper,Oesten Marsh-Swamp,Zweiteturm-Archive 2,,,,,,,
178,Broken Item,2,(Strange),(Junk),(Metal),(Antique),0,0,15,15,0,14,2,Heighten Power,,Price -30%,Skill Usage -25%,,,,"A broken, useless piece of junk. It still retains some of its original shape, so it might be reusable.",Hallos-Plaza,Zweiteturm-Archive 2,Hidden Paradise,,,,,,,
179,Never-Melting Ice,17,(Strange),(Mystery),,,80,0,35,0,15,50,18,Flood Power,Stable Matter,Ice Power,,,,,"Ice that will never melt. It can preserve veggies, but it's really rare.",Riesengang-Lower,Glass Factory-3F,Salt Desert-Bones,Hidden Paradise-Water,,,,,,
180,Aqua Spider Thread,22,(Natural),(Elixir),(Gunpowder),(String),90,0,20,0,25,60,20,Amazingly Made,,,,,,,"A pretty thread said to be spun by an aqua spider. Makes comfy and valuable clothes, but it's very rare.",Waterfall Island,Hidden Paradise-Wind,,,,Mirage Element,,,,
181,Slag Stone,5,(Antique),(Mystery),,,10,0,0,0,20,8,3,Dirt Soul,,Small,,,,,"A strange stone that slags drop. It's useless, but at least it looks pretty. Maybe I can use it in synthesis.",,,,,,Mini-Slag,Nano-Slag,,,
182,Red Slag Stone,9,(Antique),(Mystery),,,40,25,0,0,15,22,8,Fire Spirit,,Life Power,,,,,A strange red stone that slags drop. It's warm to the touch. I should try using it in synthesis.,,,,,,Nano-Slag,Pico-Slag,Fake Ruin,,
183,Green Slag Stone,14,(Antique),(Mystery),,,70,0,0,25,15,44,14,Storm Power,,Slag Specific,,,,,"A strange green stone that slags drop. It's light and fits in my hand, but I can't find a good use for it...",,,,,,Tera-Slag,,,,
184,Slag Gem,9,(Antique),(Mystery),,,25,0,0,15,15,11,6,Division,,Lightning Power,Slag Specific,,,,"A strange jewel that slags drop. It's a bit big, but it also has mysterious powers. Maybe I can make accessories?",,,,,,Guard,Watchman,,,
185,Fire Slag Stone,15,(Antique),(Mystery),,,55,30,0,10,10,33,13,Flame Power,,Fire Power,,,,,"A strange red jewel that slags drop. It's hot to the touch, but what can I use it for? It makes me kinda nostalgic...",Hidden Paradise-Earth,,,,,Watchman,Officer,,,
186,Ice Slag Stone,21,(Antique),(Mystery),,,85,0,20,15,15,53,20,Stable Matter,,Ice Power,,,,,A strange aqua jewel that slags drop. It's cold to the touch and will cool you on hot days. What else is it good for?,Hidden Paradise-Fire,,,,,Officer,Leader,,,
187,Soul Slag Stone,15,(Antique),(Mystery),(Legendary),,60,25,40,0,25,35,16,Flood Power,Addition,Exhaustion,Slag Specific,,,,"A pretty stone that slags drop. It's big and filled with a mysterious power. It could be valuable, but who knows?",Hidden Paradise-Earth,,,,,Carrier,Tracker,Porter,,
188,Sky Slag Stone,25,(Antique),(Mystery),(Legendary),,110,40,40,20,0,81,38,Expand Power,Usage Ease,Resonate Alchemy,Geometrical Form,,,,"A pretty stone that slags drop. It's big, valuable, and feels prickly when I touch it. It seems light for its size.",Hidden Paradise-Wind,,,,,Fortress,Old Castle,Battle Lord,,
189,Earth Slag Stone,35,(Antique),(Mystery),(Metal),(Legendary),120,0,20,40,40,81,38,Amazingly Made,Multiplication,Scrape Off Life,Super Hard Body,,,,A pretty and hard stone that slags drop. It's big and even people who study slags have never seen it before.,Hidden Paradise-Sky,,,,,Mecha-Dragon,Rampage Dragon,Whirlwind,,
190,Hard Claw,6,(Animal),(Medic. Ing.),,,30,0,10,0,20,21,5,Dirt Power,,Hard,,,,,"A very sharp animal claw. It's been pulverized and used as medicine since ancient times. I can make charms, too!",,,,,,Heavy Skin,,,,
191,Big Claw,13,(Animal),(Medic. Ing.),,,45,0,10,0,30,32,10,Rock Power,Well-Made,Big,,,,,"A very large animal claw. Processing it is hard work, but it can make better accessories than normal claws.",,,,,,Steel Skin,,,,
