,en,,ja,,Type,Properties,Level,evalue,Fire,Water,Wind,Earth,Categories,Effect,Item Size,Equipped by,HP,MP,ATK,DEF,SPD,res f,res w,res wi,res e,Locations,Dropped by,index
flame-root,Flame Root,A root so spicy that it may burst into flames.,炎土の根っこ,燃え上がりそうなほど暖かい根っこ。育った環境の違いで、変異をしたのかもしれない,Material,"fire-resist-plus,critical-plus,,,",8,10,1,0,0,1,"plant,gunpowder,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"searing-wastes,,","flame-scythe,,,,,",81
earth-root,Earth Root,"A large, thick root. It seems like it could be a meal in itself.",大地の根っこ,大きくてたくましい根っこ。これだけでも食用に使えそうなくらいに立派,Material,"effect-up-plus-plus,pp-expansion,,,",16,35,0,0,0,1,"plant,vegetable,,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"old-highway,lab-of-eternity,fallen-ruins",",,,,,",82
beast-meat,Beast Meat,"Tasty meat from various beasts. It has a pungent, gamy smell.",ケモノ肉,色々な獣の、美味しそうな部分の肉。少し生臭いので苦手な人も割といる,Material,",,,,",5,20,0,0,0,1,"meat,,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,,","stray-dog,heavy-skin,ore-rat,amethyst-rat,,",83
fresh-meat,Fresh Meat,Fresh meat. It seems like it could be eaten raw.,新鮮なお肉,取れたての新鮮な肉。そのまま食べられそうなほど、味もまったく落ちていない,Material,"effect-up-plus,,,,",10,15,0,1,0,1,"meat,,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,dragon-s-nest,","flesh-eater,howling-beast,steel-skin,lava-rat,alpha-silver-wolf,",84
gold-meat,Gold Meat,"Chunks of very fresh, fatty meat. Highly desired by chefs.",ゴールドミート,脂身が光り輝く新鮮な肉の塊。その豊かな味を求めて、調理人たちが争ったこともある,Material,"active-effect,,,,",15,10,0,1,1,1,"meat,medic-ing,,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,dragon-s-nest,","diamond-rat,emerald-ray,,,,",85
big-bone,Big Bone,A giant bone from a giant animal. It has many uses in a number of fields.,大きな骨,巨大な動物の、巨大な骨。料理で煮込んだり、粉にして薬として使ったりと用途は多い,Material,"frame-expand,,,,",3,15,0,0,0,1,"animal,,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"withering-plains,dragon-s-nest,","steel-skin,,,,,",86
black-bone,Black Bone,This ancient bone is said to heal illnesses when boiled and drank.,黒い骨,真っ黒になっている古い骨。煎じて飲むことで、病気が治るとも言われている,Material,"soul-bind,finely-crafted,,,",10,15,0,0,1,1,"animal,synthesis,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"withering-plains,dragon-s-nest,","red-skin,slayer-titan,blue-elder-dragon,,,",87
dragon-bone,Dragon Bone,A bone from a giant dragon. It requires significant skill.,ドラゴンボーン,巨大な竜の骨。非常に重量があり、かなり硬いので加工には熟練の腕が要求される,Material,"all-stats-6,dragon-s-blood,,,",14,10,1,0,1,1,"dragon,medic-ing,,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"withering-plains,dragon-s-nest,","compact-dragon,emerald-ray,,,,",88
bird-egg,Bird Egg,An egg from a nest high in the mountains. It has a rich flavor.,山の鳥の卵,高いところを飛び、山奥に巣を作る鳥の卵。味が濃く珍味だが、あまり数が取れない,Material,",,,,",1,10,0,0,1,0,"oil,,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,,",",,,,,",89
sea-bird-egg,Sea Bird Egg,"A very fragile egg, tasty and full of vitamins but hard to find.",ウミドリの卵,とても割れやすい鳥の卵。栄養満点で極めて美味しいが、入手は少々困難とされる,Material,"destruction-up-plus-plus,,,,",7,20,0,0,1,0,"oil,,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,,",",,,,,",90
ext-bird-egg,Ext. Bird Egg,"These eggs are so delicious, the species was nearly driven extinct.",絶滅した鳥の卵,あまりの美味しさに、人々がこぞって集めたせいで、絶滅しかけている鳥の卵,Material,"harmful-numbers,,,,",15,20,0,0,1,1,"oil,,,",10,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,ends-of-the-earth,",",,,,,",91
pale-clay,Pale Clay,"Soft, pale blue dirt. It's also heavy, possibly due to minerals.",蒼白の粘土,青白く光る柔らかい土。鉱石が含まれているからか、それなりに重量がある,Material,",,,,",4,15,0,0,0,1,"clay,oil,,",40,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,",",,,,,",92
living-clay,Living Clay,Soft dirt with mysterious power. It sometimes seems to move by itself.,リビングクレイ,不思議な力を感じる柔らかい土。たまにピクピクと動くことがある,Material,"20-automatic,,,,",8,25,0,0,0,1,"clay,ore,synthesis,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,",",,,,,",93
phlogiston,Phlogiston,A special crystal that creates sparks when rubbed.,フロジストン,すり合わせると、バチバチと火の粉が舞う、特殊な石の結晶。そのままでは使えない,Material,"fire-resist,destruction-up,,,",7,20,1,0,0,0,"natural,gunpowder,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,,","fairydrake,scorching-dragon,,,,",94
aqua-light,Aqua Light,A special crystal that creates water when rubbed.,アクアライト,すり合わせると、水分がしたたり落ちてくる、特殊な石の結晶。そのままでは使えない,Material,"water-resist,healing-up,,,",7,20,0,1,0,0,"natural,liquid,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,,","nano-slag,watchman,blue-spirit,,,",95
wind-core,Wind Core,A special stone that makes a hollow ringing sound when rubbed.,ウィンドコア,すり合わせると、中から空洞音がする特殊な石の結晶。そのままでは使えない,Material,"wind-resist,critical,,,",7,20,0,0,1,0,"natural,gas,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"upland-forest,,","mirage-element,yellow-element,,,,",96
earth-stone,Earth Stone,A crystal that breaks into pieces when rubbed.,大地の石,すり合わせると、ボロボロと崩れ落ちる特殊な石の結晶。そのままでは使えない,Material,"earth-resist,earth-damage,,,",7,20,0,0,0,1,"natural,ore,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,,",",,,,,",97
green-gemstone,Green Gemstone,"A mysterious, pale green gem. It can be used to craft accessories.",碧の原石,薄い緑色のような不思議な色をした宝石の原石。アクセサリーに使われる,Material,"wind-damage,,,,",11,15,0,0,1,1,"jewel,,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,,",",,,,,",98
blue-gemstone,Blue Gemstone,"A mysterious, pale blue gem. It shines like clear water.",蒼い原石,薄い青色のような不思議な色をした宝石の原石。透き通った水のような光を放つ,Material,"water-damage,,,,",11,15,0,1,0,1,"jewel,,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,,",",,,,,",99
rouge-gemstone,Rouge Gemstone,"A mysterious, pale red gem. It shines like a burning flame.",紅い原石,薄い紅色のような不思議な色をした宝石の原石。炎が燃えるように光り輝く,Material,"fire-damage,,,,",11,15,1,0,0,1,"jewel,,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,,",",,,,,",100
shining-crystal,Shining Crystal,"A number of crystals, each of a different size and quality.",光る結晶,キラキラ光る何かの結晶。１つ１つが違う大きさで、純度もそれぞれである,Material,",,,,",9,25,0,0,0,1,"ore,,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"withering-plains,,","guard,blue-spirit,,,,",101
corundum-stone,Corundum Stone,Gravel-like stones with some metallic luster to them.,鋼玉石,金属のような色つやを持つ玉砂利のような石。実際に金属成分を含むという人もいる,Material,"effect-up,,,,",8,25,0,0,0,1,"ore,metal,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"twilight-forest,,","ore-rat,amethyst-rat,lava-rat,diamond-rat,,",102
eternal-crystal,Eternal Crystal,"A crystal that looks like a chunk of ice, though it doesn't melt.",永久結晶,氷の塊のような結晶。氷と違うのは、放っておいても溶けることがないということだ,Material,"slow,add-wt-delay,,,",17,25,0,0,1,1,"ore,,,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"ends-of-the-earth,,","officer,yellow-spirit,,,,",103
aurora-stone,Aurora Stone,A charming gem that shines with all the colors of the rainbow.,オーロラストーン,うっすら七色に光る魅力的な宝石。磨けば磨くほどその輝きは魅惑的になるという,Material,"comet-attack,prism-light,,,",18,15,1,1,0,1,"jewel,,,",90,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"lab-of-eternity,,","tracker,officer,diamond-rat,yellow-spirit,regen-breaker,",104
night-crystal,Night Crystal,A luminescent ore that glows dimly at night.,夜光石の原石,夜になるとぼんやりと光る夜光石の原石。磨けば磨くほど光は強くなるという,Material,"weakness,,,,",6,20,0,0,1,0,"jewel,,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,,","regen-breaker,,,,,",105
glass-core,Glass Core,"A hard, transparent mineral that is very brittle.",グラスコア,透明で硬い鉱物。強い力を加えると粉々に砕け散る,Material,"sharpness-boost,,,,",9,25,0,0,1,0,"ore,,,",40,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"old-highway,withering-plains,","mini-slag,carrier,guard,amethyst-rat,blue-sky-monster,blood-saber",106
scorching-ore,Scorching Ore,Molten stone that has resolidified. It's very resistant to heat.,灼熱の熔鉱石,燃えさかる溶けた石が冷めてきたもの。熱に強く、自身も熱を持つ。使いどころが難しい,Material,"fire-damage,fire-resist-plus,,,",12,15,1,0,0,1,"ore,,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"searing-wastes,,","fairydrake,lava-rat,flame-scythe,bloody-breaker,,",107
diamond-gemstone,Diamond Gemstone,This ridiculously hard ore is difficult to work with.,金剛石の原石,金剛石という恐ろしく堅い宝石を含む原石。加工は困難だが、加工前は宝石には見えない,Material,"invulnerable,consumption-20,,,",20,40,0,0,0,1,"jewel,,,",90,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"lab-of-eternity,dragon-s-nest,","porter,diamond-rat,bloody-breaker,raging-golem,manic-golem,spirit-golem",108
beehive,Beehive,A honeycomb full of honey. The comb can be processed into beeswax.,蜜バチの巣,ハチミツがたっぷりと詰まったハチの巣。巣自体も加工するとミツロウに出来る,Material,",,,,",1,10,0,0,1,0,"beehive,fuel,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"twilight-forest,,",",,,,,",109
silver-hive,Silver Hive,These unusual bees are not very common. They use silvery materials.,銀色の巣,コルセイトの近くにはあまりいない種類の蜜バチの作る巣。銀色の材質が使われている,Material,"fixed-increase,high-price-plus-plus,,,",12,15,1,0,1,0,"beehive,fuel,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"twilight-forest,lab-of-eternity,","regen-cube,mutant-cube,manic-beast-king,,,",110
golden-hive,Golden Hive,This uncommon beehive shines like gold.,金色の巣,コルセイトの近くにはあまりいない種類の蜜バチの作る巣。金色に光り輝いている,Material,"frame-compress,premium-price,,,",18,15,1,0,1,1,"beehive,fuel,jewel,",90,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"twilight-forest,lab-of-eternity,",",,,,,",111
bitter-melon,Bitter Melon,A bitter fruit that is still possible to use in food.,ニガアマウリ,甘い果物のアマウリにそっくりな苦い果物。それでも食材には使うことは可能だ,Material,",,,,",5,20,0,1,0,0,"vegetable,,,",30,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"upland-forest,,",",,,,,",112
old-melon,Old Melon,A variety of the Amauri plant said to have lasted centuries.,ムカシウリ,アマウリ系の植物で、大昔から生きているという種。アマウリほどは甘くない,Material,"critical-plus,,,,",7,10,0,1,0,1,"vegetable,,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"upland-forest,,",",,,,,",113
honey-melon,Honey Melon,"A sweet popular fruit. In Colseit, it's often eaten at special events.",ハニーメロン,コルセイトでも人気のとても甘い果物。行事など特別な場面で食べることが多い,Material,"high-class-item,healing-up-plus-plus,,,",15,10,0,1,1,1,"vegetable,,,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"upland-forest,lab-of-eternity,",",,,,,",114
sugar-tree-sap,Sugar Tree Sap,This comes out when the bark of a sugar tree is cut. It's sticky.,糖木の樹液,糖木という木の表面を切るとにじみ出てくる。べたべたしていてなめると甘い,Material,",,,,",6,20,0,1,0,0,"liquid,seasoning,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,",",,,,,",115
milch-bean,Milch Bean,This very useful legume can be used in many recipes.,ミルヒ豆,さやの中に収まった中粒の豆。どんな料理にも合わせられる万能の豆だ,Material,",,,,",8,25,0,0,0,1,"grain,,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,",",,,,,",116
jewel-beans,Jewel Beans,A type of legume where each seed looks like a gem. It's still edible.,ジュエルビーンズ,一粒一粒宝石のような美しさを持った豆。もちろん食べることは出来る,Material,"rare-goods,reliable-effect-plus,,,",17,15,1,0,1,1,"grain,,,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,",",,,,,",117
big-milch-bean,Big Milch Bean,This weak-flavored legume's seeds are much larger than other Milch beans.,ミルヒ大豆,普通のミルヒ豆より大粒の豆。食べ応えはあるが味は若干落ちる。加工することが多い,Material,"use-count-1,,,,",11,30,0,0,0,1,"grain,,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,","hungry-steel-beast,mutant-steel-beast,mutant-lizardwing,,,",118
red-devil,Red Devil,A plant that's just as spicy as it looks. Some people like it.,赤い悪魔,見た目から感じられる通り、食べるととてつもなく辛い植物。これが好きな人もいる,Material,"healing-up,,,,",10,25,1,0,0,0,"seasoning,,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,,",",,,,,",119
blue-devil,Blue Devil,This plant has a surprisingly spicy flavor... Except when it doesn't.,青い悪魔,見た目は普通だが、食べるととてつもなく辛い植物。たまに辛くないものもあるらしい,Material,"fixed-healing,,,,",8,25,1,0,0,0,"seasoning,,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,,",",,,,,",120
bitter-tree-seed,Bitter Tree Seed,"A tart seed from a tart tree. As the name suggests, it tastes tart.",シブノキの種,シブノキという木の種。その名の通り、木も種もとても渋い味だが薬として使える,Material,",,,,",7,10,1,0,0,1,"plant,medic-ing,,",30,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"old-highway,,","bitter-squirrel,scissor-beast,,,,",121
epicure-nut,Epicure Nut,"A nut with a lot of oil in it. Some eat it raw, but most cook with it.",美食家の木の実,油分の多い木の実。生でかじる人もいるが、基本的には油を絞り、調味料として使う,Material,"tasty-healing,finely-crafted,,,",16,35,0,0,0,1,"seasoning,oil,,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,",",,,,,",122
anti-bug-grass,Anti-Bug Grass,A pungent-smelling plant. The odor keeps insects away.,虫除け草,とてもくさい臭いを放つ草。その臭いのせいで虫が近寄らない,Material,",,,,",1,10,0,0,1,0,"plant,smelly,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"twilight-forest,,",",,,,,",123
fragrant-chips,Fragrant Chips,Tree bark shavings that burn fragrantly.,香木のくず,燃やすと強い香りの煙を出す木の皮のかけら。このままでもうっすらと香りはある,Material,",,,,",14,30,0,0,1,0,"smell,fuel,,",40,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,,","mutant-spirit,,,,,",124
charcoal-pieces,Charcoal Pieces,Bits of charcoal of various woods.,木炭の破片,色々な木材を燃やして作った炭のかけら。集めれば炭としてそれなりに使える,Material,"destruction-up-plus,,,,",11,15,1,0,1,0,"fuel,gunpowder,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"searing-wastes,,","mirage-element,yellow-element,green-spirit,hidden-spirit,,",125
purify-block,Purify Block,"Wood chips burned in holy ceremonies, with a unique fragrance.",浄化の木片,神聖な儀式で燃やして使われる木片。普段は無臭だが、燃やすと独特の香りを放つ,Material,"ease-feelings,calming-effect,,,",8,25,0,0,1,0,"synthesis,lumber,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"searing-wastes,,","deep-woods-spirit,mirage-element,,,,",126
lady-s-whiskers,Lady's Whiskers,"If a lady grew a beard, it might look like this, hence the name.",貴婦人のヒゲ,もし貴婦人がヒゲを生やしたらこんな形だろう、というところから名付けられた植物,Material,",,,,",6,20,0,0,1,0,"plant,string,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,","flesh-eater,,,,,",127
golden-yarn,Golden Yarn,Soft golden fur from some kind of animal. It would make good cloth.,金色の糸毛,金色っぽい、細くて柔らかい何かの動物の毛。たくさんあればいい布生地になる,Material,"mp-reinforcement,,,,",11,15,0,1,1,0,"animal,string,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,","howling-beast,,,,,",128
mysterious-silk,Mysterious Silk,"Very thin, yet very strong silken thread. It's hard to find.",神秘的な絹毛,とても細いのに強く引っ張っても切れない美しい絹糸。なかなか採れない,Material,"hp-mp-boost,fixed-healing-plus,,,",15,35,0,0,1,0,"natural,string,mystery,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,",",,,,,",129
antique-moss,Antique Moss,A very old ball of moss that has grown very large.,年代物の丸ゴケ,丸ゴケの中でも特に長い期間生き抜いて大きく育ったもの。元気はあまりない,Material,"effect-up-plus-plus,,,,",7,20,0,1,0,0,"plant,mystery,,",40,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,",",,,,,",130
freshwater-moss,Freshwater Moss,Moss grown only in fresh water. It's very much alive.,淡水丸ゴケ,淡水でのみ生きる、丸い形の水ゴケ。これでもちゃんと生きている,Material,",,,,",9,25,0,1,0,0,"plant,mystery,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,",",,,,,",131
mountain-feather,Mountain Feather,The feather of a mountain bird. It's often used in accessories.,山鳥の羽根,山奥に暮らす鳥の羽根。大きくきれいなため、装飾品の一部として使うことが多い,Material,"speed-3,,,,",3,15,0,0,1,0,"feather,animal,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,lab-of-eternity,",",,,,,",132
eagle-feather,Eagle Feather,A feather from a mountain eagle. It's used to make fashionable items.,大ワシの羽根,山あいの、高い木の上で暮らすワシの羽根。立派な羽根は装飾品として好まれている,Material,"consumption-10,,,,",7,20,0,0,1,0,"feather,animal,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,lab-of-eternity,",",,,,,",133
paradise-feather,Paradise Feather,A valuable feather from the rarely seen bird of paradise.,極楽鳥の羽根,めったに見られない極楽鳥という貴重な鳥の羽根。当然この羽根も貴重,Material,"speed-boost,evade-danger,,,",13,30,0,0,1,0,"feather,animal,mystery,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,lab-of-eternity,",",,,,,",134
word-stone-star,Word Stone-Star,An unknown star-shaped rock with words of power carved into it.,ワードストーン・星,力を持った文字が刻まれた硬い石。いつ作られた物かは分からない。星の文様がある,Material,"power-word,steal-att-power,,,",4,15,0,0,1,0,"ancient-power,antique,metal,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,ends-of-the-earth,",",,,,,",135
word-stone-moon,Word Stone-Moon,An unknown moon-shaped rock with words of power carved into it.,ワードストーン・月,力を持った文字が刻まれた硬い石。いつ作られた物かは分からない。月のような文様がある,Material,"shield-word,steal-def,,,",8,25,0,0,0,1,"ancient-power,antique,ore,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"withering-plains,slag-graveyard,ends-of-the-earth",",,,,,",136
word-stone-sun,Word Stone-Sun,An unknown sun-shaped rock with words of power carved into it.,ワードストーン・陽,力を持った文字が刻まれた硬い石。いつ作られた物かは分からない。太陽の文様がある,Material,"fast-word,steal-spd,,,",12,30,1,0,0,0,"ancient-power,antique,jewel,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,lab-of-eternity,ends-of-the-earth","rampaging-eye,,,,,",137
word-stone-sea,Word Stone-Sea,An unknown wave-shaped rock with words of power carved into it.,ワードストーン・海,力を持った文字が刻まれた硬い石。いつ作られた物かは分からない。波形の文様がある,Material,"life-word,mental-word,,,",18,40,0,1,0,0,"ancient-power,antique,clay,",90,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"lab-of-eternity,ends-of-the-earth,","pandora,,,,,",138
word-stone-man,Word Stone-Man,An unknown human-shaped rock with words of power carved into it.,ワードストーン・人,力を持った文字が刻まれた硬い石。いつ作られた物かは分からない。人のような文様がある,Material,"purifying-curse,fatal-attack,,,",25,20,1,1,1,1,"ancient-power,antique,mystery,",0,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"lab-of-eternity,ends-of-the-earth,","dreadnought,,,,,",139
verdure-grass,Verdure Grass,A fresh green clover leaf. Just looking at it makes you happy.,青葉の詰め草,青々としたツメクサの葉。見ているだけで何となく幸せな気分にさせてくれる,Material,"high-price-plus,,,,",8,10,0,1,0,1,"plant,medic-ing,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,,",",,,,,",140
lucky-clover,Lucky Clover,A leaf said to bring good fortune to whoever holds it.,幸運のクローバー,持っていると幸せが訪れると言われている葉。本当に効果があるかは分からない,Material,"use-count-1,,,,",10,5,0,1,1,1,"plant,medic-ing,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,,",",,,,,",141
oblivion-clover,Oblivion Clover,Looking at this leaf can make you forget all your past hardships.,忘却のクローバー,見つめていると過去のイヤな出来事もきれいさっぱり忘れさせてくれる葉,Material,"calming-effect,pain-relief,,,",13,5,1,1,1,1,"plant,medic-ing,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,,",",,,,,",142
honey-poppy,Honey Poppy,A colorful flower that provides a delightful flavor in cooking.,ハニーポピー,とてもいい香りのするカラフルな花。香りを楽しむ他、調味料で料理に使う人もいる,Material,"ease-feelings,,,,",5,5,0,1,1,0,"plant,smell,seasoning,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"slag-graveyard,,",",,,,,",143
dunkelheit,Dunkelheit,"A rare flower known as Darkness, with powerful alchemic powers.",ドンケルハイト,暗闇という名を持つ、強い魔力と薬効を持つ希少な花。高度な錬金術には必須の一品,Material,"spirit-medicine,strong-medicine-plus,,,",24,20,1,1,1,1,"plant,elixir,medic-ing,mystery",100,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,lab-of-eternity,","sura-dragon,dark-demon-beast,,,,",144
white-flower,White Flower,A small flower so rare it hasn't even been named. It's very white.,白い花,たまにしか見かけないため、今まで名付けられなかった小さな花。とにかくやたらと白い,Material,"detoxifier,,,,",3,15,0,0,1,0,"plant,smell,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,,",",,,,,",145
red-flower,Red Flower,A small unnamed flower with a blazing red color.,赤い花,小さいのに真っ赤なためにとても目立つ花。たまにしか見かけないせいか名前がない,Material,"analgesic,,,,",6,10,1,0,1,0,"plant,smell,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,upland-forest,",",,,,,",146
purple-flower,Purple Flower,An unnamed flower that blends into its surroundings.,紫の花,景色に溶け込むような紫色をした花。そのせいか、名前を付けられずに今に至る,Material,"heals-wounds,,,,",11,5,0,1,1,1,"plant,smell,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,upland-forest,",",,,,,",147
water,Water,"Water from the town's well. It's potable, but the source is drying.",水,街の中などに湧いている水。普通に飲める。たくさんあるが、少しずつ減っているらしい,Material,",,,,",1,10,0,1,0,0,"liquid,,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"colseit,,",",,,,,",148
clean-water,Clean Water,Very clean water. It's getting harder and harder to find its like.,きれいな水,不純物がほとんどないとてもきれいな水。最近は手に入れるのが難しくなっている,Material,"erases-illness,,,,",9,25,0,1,0,0,"liquid,,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,","ultimate-death-bug,,,,,",149
spring-water,Spring Water,"Cold, clear water from mountain streams. It's delicious.",源泉の湧き水,人が踏み入れない奥地から湧き出でる、冷たくきれいな水。とても美味しい,Material,"erases-ailments,finely-crafted,,,",15,35,0,1,0,0,"liquid,medic-ing,,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,dragon-s-nest,","great-death-bug,spirit-death-bug,ultimate-gaia,,,",150
liquid-crystal,Liquid Crystal,A mysterious substance that seems both liquid and crystalline.,ミネラル液晶,液体のような結晶のような不思議な物質。ミネラルを多く含んでいるらしい,Material,"water-damage,,,,",5,5,0,1,0,1,"liquid,medic-ing,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,",",,,,,",151
water-crystal,Water Crystal,"Minerals from water that have crystallized over a long, long time.",水の結晶,水の中に混じっている成分が長い時間で結晶化したもの。多量の水も含む,Material,",,,,",6,20,0,1,0,0,"liquid,jewel,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,","watchman,yellow-element,,,,",152
eiche,Eiche,"Lumber that has grown very hard. It's very strong, but hard to work.",アイヒェ,堅く身が詰まった木材。丈夫なので建材などに使われるが、反対に細かい物には向かない,Material,",,,,",3,15,0,0,0,1,"lumber,fuel,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"twilight-forest,upland-forest,","scissor-beast,,,,,",153
river-wood,River Wood,Relatively new driftwood. It's easy to work with.,リバーウッド,比較的新しい流木。いずこから流れ着いた。加工しやすく便利,Material,"defense-6,,,,",8,10,0,1,0,1,"lumber,fuel,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,","scissor-beast,ultimate-death-bug,great-death-bug,,,",154
mossy-driftwood,Mossy Driftwood,Rotten and mossy old driftwood. It's very fragile.,苔むした流木,朽ちて苔だらけになっている古い流木。とてももろい,Material,"enhance-wt,,,,",13,20,0,1,0,1,"lumber,fuel,,",40,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"abandoned-river,,","regen-rat,,,,,",155
ancient-root,Ancient Root,A root from a centuries-old tree. It has mysterious power.,古の樹根,何百年も生きている巨大な古木の根っこ。長い年月が不思議な力を生み出している,Material,"large,max-expand,,,",19,40,0,0,0,1,"lumber,fuel,,",90,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"lab-of-eternity,floating-ruins,","red-skin,deep-woods-spirit,death-scissor,spirit-death-bug,,",156
thin-fruit,Thin Fruit,"A fruit from some sort of weak, malnourished plant.",やせた果実,栄養分が足りず、貧弱な状態の何かの果実。見るからに美味しくなさそうだ,Material,",,,,",1,10,0,1,0,0,"fruit,,,",30,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"withering-plains,,",",,,,,",157
